ref_date,cpi_canada_all_items,cpi_ontario_all_items,canada_cpi_yoy_inflation_percent,ontario_cpi_yoy_inflation_percent,ontario_inflation_gap_vs_canada,canada_housing_starts_saar,ontario_housing_starts_saar
1914-01-01,6.0,,,,,,
1914-02-01,6.0,,,,,,
1914-03-01,6.0,,,,,,
1914-04-01,6.0,,,,,,
1914-05-01,5.9,,,,,,
1914-06-01,6.0,,,,,,
1914-07-01,5.9,,,,,,
1914-08-01,6.0,,,,,,
1914-09-01,6.0,,,,,,
1914-10-01,6.1,,,,,,
1914-11-01,6.1,,,,,,
1914-12-01,6.1,,,,,,
1915-01-01,6.1,,1.6667,,,,
1915-02-01,6.1,,1.6667,,,,
1915-03-01,6.1,,1.6667,,,,
1915-04-01,6.1,,1.6667,,,,
1915-05-01,6.1,,3.3898,,,,
1915-06-01,6.1,,1.6667,,,,
1915-07-01,6.1,,3.3898,,,,
1915-08-01,6.1,,1.6667,,,,
1915-09-01,6.1,,1.6667,,,,
1915-10-01,6.1,,0.0,,,,
1915-11-01,6.3,,3.2787,,,,
1915-12-01,6.3,,3.2787,,,,
1916-01-01,6.4,,4.918,,,,
1916-02-01,6.5,,6.5574,,,,
1916-03-01,6.5,,6.5574,,,,
1916-04-01,6.5,,6.5574,,,,
1916-05-01,6.5,,6.5574,,,,
1916-06-01,6.6,,8.1967,,,,
1916-07-01,6.6,,8.1967,,,,
1916-08-01,6.6,,8.1967,,,,
1916-09-01,6.8,,11.4754,,,,
1916-10-01,6.9,,13.1148,,,,
1916-11-01,7.1,,12.6984,,,,
1916-12-01,7.2,,14.2857,,,,
1917-01-01,7.4,,15.625,,,,
1917-02-01,7.4,,13.8462,,,,
1917-03-01,7.6,,16.9231,,,,
1917-04-01,7.6,,16.9231,,,,
1917-05-01,7.9,,21.5385,,,,
1917-06-01,8.0,,21.2121,,,,
1917-07-01,8.0,,21.2121,,,,
1917-08-01,8.0,,21.2121,,,,
1917-09-01,8.0,,17.6471,,,,
1917-10-01,8.2,,18.8406,,,,
1917-11-01,8.2,,15.493,,,,
1917-12-01,8.3,,15.2778,,,,
1918-01-01,8.4,,13.5135,,,,
1918-02-01,8.5,,14.8649,,,,
