fiscal_year,revenues,program_expenses_excluding_net_actuarial_losses,public_debt_charges,budgetary_balance,accumulated_deficit,fiscal_position,debt_charges_as_percent_of_revenue
1966-67,9975.0,9278.0,1182.0,-485.0,17708.0,Deficit,11.8496
1967-68,10925.0,10681.0,1286.0,-1042.0,18750.0,Deficit,11.7712
1968-69,12320.0,11523.0,1464.0,-667.0,19417.0,Deficit,11.8831
1969-70,14755.0,12921.0,1694.0,140.0,19277.0,Surplus,11.4809
1970-71,15387.0,14516.0,1887.0,-1016.0,20293.0,Deficit,12.2636
1971-72,17119.0,16795.0,2110.0,-1786.0,22079.0,Deficit,12.3255
1972-73,19808.0,19409.0,2300.0,-1901.0,23980.0,Deficit,11.6115
1973-74,22997.0,22643.0,2565.0,-2211.0,26191.0,Deficit,11.1536
1974-75,29965.0,28952.0,3238.0,-2225.0,28416.0,Deficit,10.8059
1975-76,32441.0,34675.0,3970.0,-6204.0,34620.0,Deficit,12.2376
1976-77,35283.0,37472.0,4708.0,-6897.0,41517.0,Deficit,13.3435
1977-78,35633.0,40981.0,5531.0,-10879.0,52396.0,Deficit,15.5221
1978-79,38214.0,44219.0,7024.0,-13029.0,65425.0,Deficit,18.3807
1979-80,43310.0,46783.0,8494.0,-11967.0,77392.0,Deficit,19.6121
1980-81,53181.0,57079.0,10658.0,-14556.0,91948.0,Deficit,20.041
1981-82,67289.0,67849.0,15114.0,-15674.0,107622.0,Deficit,22.4613
1982-83,67430.0,79576.0,16903.0,-29049.0,136671.0,Deficit,25.0675
1983-84,65261.0,77194.0,20430.0,-32363.0,157252.0,Deficit,31.3051
1984-85,71999.0,84279.0,24887.0,-37167.0,194419.0,Deficit,34.5658
1985-86,77742.0,83474.0,27657.0,-33389.0,227808.0,Deficit,35.5754
1986-87,86746.0,87870.0,28718.0,-29842.0,257650.0,Deficit,33.1058
1987-88,97215.0,95009.0,31223.0,-29017.0,286667.0,Deficit,32.1175
1988-89,106349.0,98764.0,35532.0,-27947.0,314614.0,Deficit,33.4108
1989-90,115887.0,103784.0,41246.0,-29143.0,343757.0,Deficit,35.5916
1990-91,119685.0,108550.0,45034.0,-33899.0,377656.0,Deficit,37.6271
1991-92,126086.0,114544.0,43861.0,-32319.0,409975.0,Deficit,34.7866
1992-93,124486.0,122173.0,41332.0,-39019.0,448994.0,Deficit,33.2021
1993-94,123873.0,122304.0,40099.0,-38530.0,487524.0,Deficit,32.3711
1994-95,130791.0,123238.0,44185.0,-36632.0,524156.0,Deficit,33.7829
1995-96,140257.0,120856.0,49407.0,-30006.0,554162.0,Deficit,35.226
1996-97,149889.0,111327.0,47281.0,-8719.0,562881.0,Deficit,31.544
1997-98,160864.0,114785.0,43120.0,2959.0,559922.0,Surplus,26.8053
1998-99,165520.0,116438.0,43303.0,5779.0,554143.0,Surplus,26.1618
1999-00,176408.0,118766.0,43384.0,14258.0,539885.0,Surplus,24.593
2000-01,194349.0,130566.0,43892.0,19891.0,519994.0,Surplus,22.5841
2001-02,183930.0,136231.0,39651.0,8048.0,511946.0,Surplus,21.5577
2002-03,190570.0,146679.0,37270.0,6621.0,505325.0,Surplus,19.5571
2003-04,200788.0,155874.0,35769.0,9145.0,496180.0,Surplus,17.8143
2004-05,214237.0,178656.0,34118.0,1463.0,494717.0,Surplus,15.9254
2005-06,224343.0,177353.0,33772.0,13218.0,481499.0,Surplus,15.0537
2006-07,238397.0,190700.0,33945.0,13752.0,467268.0,Surplus,14.2389
2007-08,245525.0,202603.0,33325.0,9597.0,457637.0,Surplus,13.573
2008-09,237286.0,209654.0,28269.0,-9116.0,467946.0,Deficit,11.9135
2009-10,220611.0,242252.0,26562.0,-56368.0,524103.0,Deficit,12.0402
2010-11,239255.0,238402.0,28610.0,-34953.0,556914.0,Deficit,11.958
2011-12,246682.0,237966.0,29038.0,-28033.0,591917.0,Deficit,11.7714
2012-13,254410.0,237875.0,25533.0,-21293.0,620610.0,Deficit,10.0362
2013-14,270012.0,233672.0,24729.0,-8050.0,626000.0,Deficit,9.1585
2014-15,279905.0,248664.0,24207.0,-550.0,628910.0,Deficit,8.6483
2015-16,292608.0,263568.0,21837.0,-2861.0,634440.0,Deficit,7.4629
2016-17,290868.0,278689.0,21232.0,-18957.0,651540.0,Deficit,7.2995
2017-18,311216.0,297936.0,21889.0,-18961.0,671254.0,Deficit,7.0334
2018-19,332218.0,314555.0,23266.0,-13964.0,685450.0,Deficit,7.0032
2019-20,334131.0,338467.0,24447.0,-39392.0,721360.0,Deficit,7.3166
2020-21,316446.0,608522.0,20358.0,-327729.0,1048746.0,Deficit,6.4333
2021-22,413277.0,468919.0,24487.0,-90315.0,1139975.0,Deficit,5.9251
2022-23,447815.0,438555.0,34955.0,-35322.0,1173013.0,Deficit,7.8057
2023-24,459549.0,466663.0,47273.0,-61876.0,1236151.0,Deficit,10.2868
2024-25,510951.0,489869.0,53410.0,-36348.0,1266484.0,Deficit,10.4531
