ref_date,industry,labour_productivity_dollars,labour_productivity_yoy_percent
2011-01-01,Accommodation and food services [72],23.0,
2012-01-01,Accommodation and food services [72],22.7,-1.3043
2013-01-01,Accommodation and food services [72],23.3,2.6432
2014-01-01,Accommodation and food services [72],24.2,3.8627
2015-01-01,Accommodation and food services [72],23.9,-1.2397
2016-01-01,Accommodation and food services [72],23.6,-1.2552
2017-01-01,Accommodation and food services [72],23.5,-0.4237
2018-01-01,Accommodation and food services [72],23.4,-0.4255
2019-01-01,Accommodation and food services [72],23.6,0.8547
2020-01-01,Accommodation and food services [72],24.1,2.1186
2021-01-01,Accommodation and food services [72],24.9,3.3195
2022-01-01,Accommodation and food services [72],26.9,8.0321
2023-01-01,Accommodation and food services [72],26.6,-1.1152
2024-01-01,Accommodation and food services [72],27.1,1.8797
2025-01-01,Accommodation and food services [72],27.7,2.214
2011-01-01,"Administrative and support, waste management and remediation services [56]",35.6,
2012-01-01,"Administrative and support, waste management and remediation services [56]",36.6,2.809
2013-01-01,"Administrative and support, waste management and remediation services [56]",36.0,-1.6393
2014-01-01,"Administrative and support, waste management and remediation services [56]",36.6,1.6667
2015-01-01,"Administrative and support, waste management and remediation services [56]",37.0,1.0929
2016-01-01,"Administrative and support, waste management and remediation services [56]",36.8,-0.5405
2017-01-01,"Administrative and support, waste management and remediation services [56]",36.4,-1.087
2018-01-01,"Administrative and support, waste management and remediation services [56]",37.3,2.4725
2019-01-01,"Administrative and support, waste management and remediation services [56]",37.7,1.0724
2020-01-01,"Administrative and support, waste management and remediation services [56]",37.4,-0.7958
2021-01-01,"Administrative and support, waste management and remediation services [56]",37.6,0.5348
2022-01-01,"Administrative and support, waste management and remediation services [56]",38.1,1.3298
2023-01-01,"Administrative and support, waste management and remediation services [56]",38.1,0.0
2024-01-01,"Administrative and support, waste management and remediation services [56]",37.7,-1.0499
2025-01-01,"Administrative and support, waste management and remediation services [56]",37.5,-0.5305
2011-01-01,"Agriculture, forestry, fishing and hunting [11]",41.8,
2012-01-01,"Agriculture, forestry, fishing and hunting [11]",42.5,1.6746
2013-01-01,"Agriculture, forestry, fishing and hunting [11]",47.4,11.5294
2014-01-01,"Agriculture, forestry, fishing and hunting [11]",47.3,-0.211
2015-01-01,"Agriculture, forestry, fishing and hunting [11]",49.5,4.6512
2016-01-01,"Agriculture, forestry, fishing and hunting [11]",51.0,3.0303
2017-01-01,"Agriculture, forestry, fishing and hunting [11]",52.7,3.3333
2018-01-01,"Agriculture, forestry, fishing and hunting [11]",54.1,2.6565
2019-01-01,"Agriculture, forestry, fishing and hunting [11]",53.7,-0.7394
2020-01-01,"Agriculture, forestry, fishing and hunting [11]",57.5,7.0764
2021-01-01,"Agriculture, forestry, fishing and hunting [11]",47.5,-17.3913
2022-01-01,"Agriculture, forestry, fishing and hunting [11]",60.6,27.5789
2023-01-01,"Agriculture, forestry, fishing and hunting [11]",57.4,-5.2805
2024-01-01,"Agriculture, forestry, fishing and hunting [11]",61.4,6.9686
2025-01-01,"Agriculture, forestry, fishing and hunting [11]",66.3,7.9805
2011-01-01,"Arts, entertainment and recreation [71]",31.7,
2012-01-01,"Arts, entertainment and recreation [71]",32.4,2.2082
2013-01-01,"Arts, entertainment and recreation [71]",30.8,-4.9383
2014-01-01,"Arts, entertainment and recreation [71]",32.8,6.4935
2015-01-01,"Arts, entertainment and recreation [71]",31.8,-3.0488
2016-01-01,"Arts, entertainment and recreation [71]",30.6,-3.7736
2017-01-01,"Arts, entertainment and recreation [71]",32.9,7.5163
2018-01-01,"Arts, entertainment and recreation [71]",31.7,-3.6474
2019-01-01,"Arts, entertainment and recreation [71]",33.0,4.1009
2020-01-01,"Arts, entertainment and recreation [71]",31.5,-4.5455
2021-01-01,"Arts, entertainment and recreation [71]",34.1,8.254
2022-01-01,"Arts, entertainment and recreation [71]",36.0,5.5718
2023-01-01,"Arts, entertainment and recreation [71]",37.1,3.0556
2024-01-01,"Arts, entertainment and recreation [71]",37.6,1.3477
2025-01-01,"Arts, entertainment and recreation [71]",37.7,0.266
2011-01-01,Construction [23],52.7,
2012-01-01,Construction [23],52.7,0.0
2013-01-01,Construction [23],54.0,2.4668
2014-01-01,Construction [23],54.7,1.2963
2015-01-01,Construction [23],53.7,-1.8282
2016-01-01,Construction [23],54.0,0.5587
2017-01-01,Construction [23],53.8,-0.3704
2018-01-01,Construction [23],54.2,0.7435
2019-01-01,Construction [23],53.4,-1.476
2020-01-01,Construction [23],59.9,12.1723
2021-01-01,Construction [23],54.2,-9.5159
2022-01-01,Construction [23],52.3,-3.5055
2023-01-01,Construction [23],48.8,-6.6922
2024-01-01,Construction [23],49.3,1.0246
2025-01-01,Construction [23],50.5,2.4341
2011-01-01,Educational services [61],52.8,
2012-01-01,Educational services [61],52.7,-0.1894
2013-01-01,Educational services [61],53.8,2.0873
2014-01-01,Educational services [61],54.8,1.8587
2015-01-01,Educational services [61],54.2,-1.0949
2016-01-01,Educational services [61],54.0,-0.369
2017-01-01,Educational services [61],55.1,2.037
2018-01-01,Educational services [61],55.0,-0.1815
2019-01-01,Educational services [61],55.7,1.2727
2020-01-01,Educational services [61],57.7,3.5907
2021-01-01,Educational services [61],55.3,-4.1594
2022-01-01,Educational services [61],55.4,0.1808
2023-01-01,Educational services [61],54.7,-1.2635
2024-01-01,Educational services [61],52.5,-4.0219
2025-01-01,Educational services [61],52.3,-0.381
2011-01-01,Finance and insurance [52],67.3,
2012-01-01,Finance and insurance [52],69.1,2.6746
2013-01-01,Finance and insurance [52],70.7,2.3155
2014-01-01,Finance and insurance [52],71.4,0.9901
2015-01-01,Finance and insurance [52],75.8,6.1625
2016-01-01,Finance and insurance [52],76.8,1.3193
2017-01-01,Finance and insurance [52],83.1,8.2031
2018-01-01,Finance and insurance [52],86.9,4.5728
2019-01-01,Finance and insurance [52],85.9,-1.1507
2020-01-01,Finance and insurance [52],91.5,6.5192
2021-01-01,Finance and insurance [52],91.2,-0.3279
2022-01-01,Finance and insurance [52],91.8,0.6579
2023-01-01,Finance and insurance [52],94.5,2.9412
2024-01-01,Finance and insurance [52],90.5,-4.2328
2025-01-01,Finance and insurance [52],93.5,3.3149
2011-01-01,Goods-producing industries [T002],68.1,
2012-01-01,Goods-producing industries [T002],67.4,-1.0279
2013-01-01,Goods-producing industries [T002],69.1,2.5223
2014-01-01,Goods-producing industries [T002],72.2,4.4863
2015-01-01,Goods-producing industries [T002],72.4,0.277
2016-01-01,Goods-producing industries [T002],73.6,1.6575
2017-01-01,Goods-producing industries [T002],74.2,0.8152
2018-01-01,Goods-producing industries [T002],74.7,0.6739
2019-01-01,Goods-producing industries [T002],74.2,-0.6693
2020-01-01,Goods-producing industries [T002],79.5,7.1429
2021-01-01,Goods-producing industries [T002],74.2,-6.6667
2022-01-01,Goods-producing industries [T002],74.1,-0.1348
2023-01-01,Goods-producing industries [T002],72.0,-2.834
2024-01-01,Goods-producing industries [T002],72.0,0.0
2025-01-01,Goods-producing industries [T002],73.3,1.8056
2011-01-01,Health care and social assistance [62],45.9,
2012-01-01,Health care and social assistance [62],45.9,0.0
2013-01-01,Health care and social assistance [62],44.7,-2.6144
2014-01-01,Health care and social assistance [62],44.9,0.4474
2015-01-01,Health care and social assistance [62],44.1,-1.7817
2016-01-01,Health care and social assistance [62],44.2,0.2268
2017-01-01,Health care and social assistance [62],43.9,-0.6787
2018-01-01,Health care and social assistance [62],43.9,0.0
2019-01-01,Health care and social assistance [62],44.1,0.4556
2020-01-01,Health care and social assistance [62],45.0,2.0408
2021-01-01,Health care and social assistance [62],43.2,-4.0
2022-01-01,Health care and social assistance [62],43.2,0.0
2023-01-01,Health care and social assistance [62],42.7,-1.1574
2024-01-01,Health care and social assistance [62],42.6,-0.2342
2025-01-01,Health care and social assistance [62],42.9,0.7042
2011-01-01,Information and cultural industries [51],89.3,
2012-01-01,Information and cultural industries [51],88.7,-0.6719
2013-01-01,Information and cultural industries [51],91.1,2.7057
2014-01-01,Information and cultural industries [51],95.9,5.2689
2015-01-01,Information and cultural industries [51],95.1,-0.8342
2016-01-01,Information and cultural industries [51],93.0,-2.2082
2017-01-01,Information and cultural industries [51],93.7,0.7527
2018-01-01,Information and cultural industries [51],94.6,0.9605
2019-01-01,Information and cultural industries [51],96.7,2.2199
2020-01-01,Information and cultural industries [51],103.6,7.1355
2021-01-01,Information and cultural industries [51],98.0,-5.4054
2022-01-01,Information and cultural industries [51],99.4,1.4286
2023-01-01,Information and cultural industries [51],104.1,4.7284
2024-01-01,Information and cultural industries [51],108.1,3.8425
2025-01-01,Information and cultural industries [51],112.8,4.3478
2011-01-01,Management of companies and enterprises [55],40.2,
2012-01-01,Management of companies and enterprises [55],39.0,-2.9851
2013-01-01,Management of companies and enterprises [55],41.6,6.6667
2014-01-01,Management of companies and enterprises [55],42.2,1.4423
2015-01-01,Management of companies and enterprises [55],43.4,2.8436
2016-01-01,Management of companies and enterprises [55],43.4,0.0
2017-01-01,Management of companies and enterprises [55],50.7,16.8203
2018-01-01,Management of companies and enterprises [55],51.7,1.9724
2019-01-01,Management of companies and enterprises [55],51.2,-0.9671
2020-01-01,Management of companies and enterprises [55],51.0,-0.3906
2021-01-01,Management of companies and enterprises [55],48.6,-4.7059
2022-01-01,Management of companies and enterprises [55],33.9,-30.2469
2023-01-01,Management of companies and enterprises [55],31.0,-8.5546
2024-01-01,Management of companies and enterprises [55],22.4,-27.7419
2025-01-01,Management of companies and enterprises [55],18.0,-19.6429
2011-01-01,Manufacturing [31-33],63.1,
2012-01-01,Manufacturing [31-33],64.0,1.4263
2013-01-01,Manufacturing [31-33],64.8,1.25
2014-01-01,Manufacturing [31-33],67.1,3.5494
2015-01-01,Manufacturing [31-33],67.0,-0.149
2016-01-01,Manufacturing [31-33],66.9,-0.1493
2017-01-01,Manufacturing [31-33],67.2,0.4484
2018-01-01,Manufacturing [31-33],67.3,0.1488
2019-01-01,Manufacturing [31-33],67.5,0.2972
2020-01-01,Manufacturing [31-33],69.9,3.5556
2021-01-01,Manufacturing [31-33],69.0,-1.2876
2022-01-01,Manufacturing [31-33],68.0,-1.4493
2023-01-01,Manufacturing [31-33],68.5,0.7353
2024-01-01,Manufacturing [31-33],65.5,-4.3796
2025-01-01,Manufacturing [31-33],64.7,-1.2214
