fiscal_year,own_source_revenues,federal_transfers,total_revenues,total_program_expenditures,debt_charges,total_expenditures,deficit_or_surplus,net_debt,fiscal_position,federal_transfers_as_percent_of_revenue,debt_charges_as_percent_of_revenue
1990-91,43240.0,5762.0,49002.0,48255.0,3776.0,52031.0,-3029.0,38438.0,Deficit,11.7587,7.7058
1991-92,41203.0,6324.0,47527.0,54261.0,4196.0,58457.0,-10930.0,49368.0,Deficit,13.3061,8.8287
1992-93,41568.0,7554.0,49122.0,56257.0,5293.0,61550.0,-12428.0,61796.0,Deficit,15.378,10.7752
1993-94,44339.0,7071.0,51410.0,55483.0,7129.0,62612.0,-11202.0,80599.0,Deficit,13.7541,13.867
1994-95,46355.0,7607.0,53962.0,56259.0,7832.0,64091.0,-10129.0,90728.0,Deficit,14.097,14.5139
1995-96,50017.0,7881.0,57898.0,58223.0,8475.0,66698.0,-8800.0,101864.0,Deficit,13.6119,14.6378
1996-97,52282.0,5778.0,58060.0,56358.0,8607.0,64965.0,-6905.0,108769.0,Deficit,9.9518,14.8243
1997-98,56264.0,5098.0,61362.0,56599.0,8729.0,65328.0,-3966.0,112735.0,Deficit,8.3081,14.2254
1998-99,58529.0,4515.0,63044.0,56030.0,9016.0,65046.0,-2002.0,114737.0,Deficit,7.1617,14.3011
1999-00,65098.0,5885.0,70983.0,59288.0,11027.0,70315.0,668.0,134398.0,Surplus,8.2907,15.5347
2000-01,66129.0,6129.0,72258.0,59483.0,10873.0,70356.0,1902.0,132496.0,Surplus,8.4821,15.0475
2001-02,64796.0,7754.0,72550.0,62392.0,10337.0,72729.0,-179.0,132675.0,Deficit,10.6878,14.2481
2002-03,66044.0,8894.0,74938.0,64632.0,9694.0,74326.0,612.0,132706.0,Surplus,11.8685,12.936
2003-04,64655.0,9894.0,74549.0,71908.0,9604.0,81512.0,-6963.0,140355.0,Deficit,13.2718,12.8828
2004-05,72311.0,11881.0,84192.0,76854.0,9368.0,86222.0,-2030.0,142935.0,Deficit,14.1118,11.1269
2005-06,82595.0,13252.0,95847.0,86642.0,9309.0,95951.0,-104.0,155118.0,Deficit,13.8262,9.7124
2006-07,88524.0,14036.0,102560.0,91630.0,9135.0,100765.0,1795.0,156632.0,Surplus,13.6856,8.907
2007-08,92976.0,16802.0,109778.0,100496.0,9220.0,109716.0,62.0,160044.0,Surplus,15.3054,8.3988
2008-09,86659.0,16757.0,103416.0,97448.0,8949.0,106397.0,-2981.0,169585.0,Deficit,16.2035,8.6534
2009-10,83681.0,18872.0,102553.0,112696.0,9119.0,121815.0,-19262.0,193589.0,Deficit,18.4022,8.892
2010-11,90315.0,23279.0,113594.0,120843.0,10005.0,130848.0,-17254.0,217754.0,Deficit,20.4932,8.8077
2011-12,94939.0,21462.0,116401.0,121222.0,10587.0,131809.0,-15408.0,241912.0,Deficit,18.438,9.0953
2012-13,98347.0,21972.0,120319.0,120103.0,10878.0,130981.0,-10662.0,259947.0,Deficit,18.2615,9.041
2013-14,100376.0,22579.0,122955.0,123330.0,11155.0,134485.0,-11530.0,276169.0,Deficit,18.3636,9.0724
2014-15,104229.0,21923.0,126152.0,126199.0,11221.0,137420.0,-11268.0,294557.0,Deficit,17.3782,8.8948
2016-17,116191.0,24543.0,141260.0,131442.0,12254.0,143696.0,-2435.0,314077.0,Deficit,17.3743,8.6748
2017-18,125734.0,24860.0,151291.0,142464.0,12506.0,154969.0,-3679.0,323068.0,Deficit,16.4319,8.2662
2018-19,128714.0,25090.0,154751.0,148747.0,13332.0,162079.0,-7328.0,337623.0,Deficit,16.2131,8.6151
2019-20,130769.0,25398.0,157141.0,152265.0,13471.0,165736.0,-8595.0,352382.0,Deficit,16.1626,8.5726
2020-21,131046.0,33924.0,165737.0,168964.0,13063.0,182027.0,-16290.0,372501.0,Deficit,20.4686,7.8818
2021-22,154521.0,30607.0,185847.0,170520.0,13302.0,183822.0,2025.0,382842.0,Surplus,16.4689,7.1575
2022-23,163168.0,31264.0,194431.0,186364.0,13935.0,200299.0,-5868.0,399806.0,Deficit,16.0797,7.1671
2023-24,174639.0,34336.0,208975.0,195207.0,14461.0,209668.0,-693.0,409761.0,Deficit,16.4307,6.92
2024-25,189528.0,36633.0,226161.0,212129.0,15122.0,227251.0,-1090.0,427050.0,Deficit,16.1978,6.6864
