ref_date,geo,retail_sales_dollars,cpi_all_items,employment_thousands,unemployment_rate_percent,population,population_source_date,population_is_carried_forward,retail_sales_yoy_percent,cpi_yoy_inflation_percent,employment_yoy_percent,retail_sales_per_capita,canada_retail_sales_yoy_percent,canada_cpi_yoy_inflation_percent,canada_employment_yoy_percent,canada_unemployment_rate_percent,retail_sales_yoy_gap_vs_canada,cpi_inflation_gap_vs_canada,employment_yoy_gap_vs_canada,unemployment_rate_gap_vs_canada
2017-01-01,Alberta,6726992000.0,137.0,2205.3,8.6,4215506,2017-01-01,False,,,,1595.7733,,,,6.9,,,,1.7
2017-01-01,British Columbia,7277591000.0,123.5,2519.1,5.6,4894147,2017-01-01,False,,,,1486.9989,,,,6.9,,,,-1.3
2017-01-01,Canada,50417235000.0,129.5,18172.5,6.9,36313068,2017-01-01,False,,,,1388.4047,,,,6.9,,,,0.0
2017-01-01,Manitoba,1749096000.0,129.6,640.6,6.0,1324044,2017-01-01,False,,,,1321.0256,,,,6.9,,,,-0.9
2017-01-01,New Brunswick,1049815000.0,130.1,360.6,8.6,764612,2017-01-01,False,,,,1373.0036,,,,6.9,,,,1.7
2017-01-01,Newfoundland and Labrador,800919000.0,135.3,230.1,14.5,530175,2017-01-01,False,,,,1510.6691,,,,6.9,,,,7.6
2017-01-01,Nova Scotia,1338447000.0,131.7,444.8,8.4,947023,2017-01-01,False,,,,1413.3205,,,,6.9,,,,1.5
2017-01-01,Ontario,18742688000.0,130.8,7028.9,6.6,13975516,2017-01-01,False,,,,1341.1088,,,,6.9,,,,-0.3
2017-01-01,Prince Edward Island,199509000.0,132.3,74.0,9.5,147811,2017-01-01,False,,,,1349.7575,,,,6.9,,,,2.6
2017-01-01,Quebec,10709589000.0,126.2,4109.3,6.5,8252179,2017-01-01,False,,,,1297.7892,,,,6.9,,,,-0.4
2017-01-01,Saskatchewan,1651544000.0,133.1,559.8,6.9,1141537,2017-01-01,False,,,,1446.7722,,,,6.9,,,,0.0
2017-02-01,Alberta,6755541000.0,136.7,2216.1,8.1,4215506,2017-01-01,True,,,,1602.5457,,,,6.6,,,,1.5
2017-02-01,British Columbia,6979447000.0,123.6,2528.0,5.4,4894147,2017-01-01,True,,,,1426.0804,,,,6.6,,,,-1.2
2017-02-01,Canada,49863452000.0,129.7,18216.6,6.6,36313068,2017-01-01,True,,,,1373.1545,,,,6.6,,,,0.0
2017-02-01,Manitoba,1733320000.0,129.5,643.3,5.8,1324044,2017-01-01,True,,,,1309.1106,,,,6.6,,,,-0.8
2017-02-01,New Brunswick,1062497000.0,130.0,359.7,8.6,764612,2017-01-01,True,,,,1389.5898,,,,6.6,,,,2.0
2017-02-01,Newfoundland and Labrador,784274000.0,135.0,227.9,14.7,530175,2017-01-01,True,,,,1479.2738,,,,6.6,,,,8.1
2017-02-01,Nova Scotia,1291331000.0,131.4,442.6,8.6,947023,2017-01-01,True,,,,1363.5688,,,,6.6,,,,2.0
2017-02-01,Ontario,18703958000.0,131.2,7037.0,6.3,13975516,2017-01-01,True,,,,1338.3376,,,,6.6,,,,-0.3
2017-02-01,Prince Edward Island,192843000.0,131.5,73.6,10.4,147811,2017-01-01,True,,,,1304.6593,,,,6.6,,,,3.8
2017-02-01,Quebec,10526893000.0,126.6,4121.1,6.4,8252179,2017-01-01,True,,,,1275.6501,,,,6.6,,,,-0.2
2017-02-01,Saskatchewan,1659959000.0,132.9,567.2,6.2,1141537,2017-01-01,True,,,,1454.1438,,,,6.6,,,,-0.4
2017-03-01,Alberta,6696621000.0,136.8,2217.0,8.6,4215506,2017-01-01,True,,,,1588.5687,,,,6.7,,,,1.9
2017-03-01,British Columbia,7041783000.0,124.2,2540.7,5.6,4894147,2017-01-01,True,,,,1438.8172,,,,6.7,,,,-1.1
2017-03-01,Canada,49937420000.0,129.9,18241.5,6.7,36313068,2017-01-01,True,,,,1375.1914,,,,6.7,,,,0.0
2017-03-01,Manitoba,1727275000.0,129.9,644.3,5.7,1324044,2017-01-01,True,,,,1304.545,,,,6.7,,,,-1.0
2017-03-01,New Brunswick,1054798000.0,130.5,359.5,8.6,764612,2017-01-01,True,,,,1379.5206,,,,6.7,,,,1.9
2017-03-01,Newfoundland and Labrador,767324000.0,135.3,227.3,15.5,530175,2017-01-01,True,,,,1447.3032,,,,6.7,,,,8.8
2017-03-01,Nova Scotia,1332297000.0,131.8,444.7,9.2,947023,2017-01-01,True,,,,1406.8264,,,,6.7,,,,2.5
2017-03-01,Ontario,18903337000.0,131.4,7040.4,6.3,13975516,2017-01-01,True,,,,1352.6039,,,,6.7,,,,-0.4
2017-03-01,Prince Edward Island,199423000.0,132.4,73.6,10.1,147811,2017-01-01,True,,,,1349.1756,,,,6.7,,,,3.4
2017-03-01,Quebec,10366074000.0,126.7,4133.6,6.0,8252179,2017-01-01,True,,,,1256.162,,,,6.7,,,,-0.7
2017-03-01,Saskatchewan,1679639000.0,133.0,560.3,6.3,1141537,2017-01-01,True,,,,1471.3838,,,,6.7,,,,-0.4
2017-04-01,Alberta,6731946000.0,137.4,2216.8,8.2,4224933,2017-04-01,False,,,,1593.3853,,,,6.5,,,,1.7
2017-04-01,British Columbia,7097179000.0,124.4,2551.7,5.4,4908971,2017-04-01,False,,,,1445.757,,,,6.5,,,,-1.1
2017-04-01,Canada,50827438000.0,130.4,18271.6,6.5,36397141,2017-04-01,False,,,,1396.4679,,,,6.5,,,,0.0
2017-04-01,Manitoba,1748527000.0,130.2,645.7,5.4,1328337,2017-04-01,False,,,,1316.3279,,,,6.5,,,,-1.1
2017-04-01,New Brunswick,1067218000.0,131.2,358.9,9.0,764859,2017-04-01,False,,,,1395.3134,,,,6.5,,,,2.5
2017-04-01,Newfoundland and Labrador,764090000.0,135.6,228.4,14.8,529700,2017-04-01,False,,,,1442.4958,,,,6.5,,,,8.3
2017-04-01,Nova Scotia,1339876000.0,132.0,445.2,8.8,948945,2017-04-01,False,,,,1411.9638,,,,6.5,,,,2.3
2017-04-01,Ontario,19222214000.0,132.0,7048.1,6.0,14012209,2017-04-01,False,,,,1371.819,,,,6.5,,,,-0.5
2017-04-01,Prince Edward Island,201039000.0,133.2,74.2,10.1,148354,2017-04-01,False,,,,1355.1303,,,,6.5,,,,3.6
2017-04-01,Quebec,10861159000.0,127.0,4139.9,6.3,8265839,2017-04-01,False,,,,1313.9814,,,,6.5,,,,-0.2
2017-04-01,Saskatchewan,1626696000.0,134.2,562.8,6.2,1143829,2017-04-01,False,,,,1422.1496,,,,6.5,,,,-0.3
2017-05-01,Alberta,6794861000.0,137.2,2213.6,8.4,4224933,2017-04-01,True,,,,1608.2766,,,,6.6,,,,1.8
2017-05-01,British Columbia,7231238000.0,125.0,2569.4,5.4,4908971,2017-04-01,True,,,,1473.0659,,,,6.6,,,,-1.2
2017-05-01,Canada,50711634000.0,130.5,18312.9,6.6,36397141,2017-04-01,True,,,,1393.2862,,,,6.6,,,,0.0
2017-05-01,Manitoba,1756835000.0,130.2,647.5,5.2,1328337,2017-04-01,True,,,,1322.5823,,,,6.6,,,,-1.4
2017-05-01,New Brunswick,1103307000.0,131.2,358.6,8.8,764859,2017-04-01,True,,,,1442.4972,,,,6.6,,,,2.2
2017-05-01,Newfoundland and Labrador,777538000.0,135.4,228.3,15.2,529700,2017-04-01,True,,,,1467.8837,,,,6.6,,,,8.6
2017-05-01,Nova Scotia,1363924000.0,132.2,446.9,8.5,948945,2017-04-01,True,,,,1437.3056,,,,6.6,,,,1.9
2017-05-01,Ontario,19082390000.0,131.9,7079.1,6.4,14012209,2017-04-01,True,,,,1361.8402,,,,6.6,,,,-0.2
